player_name,home_team,away_team,year,team,Match,Competition,Date,Position,Minutes played,total_actions,successful_actions,goals,assists,shots,shots_on_target,xg,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,dribbles,successful_dribbles,total_duels,total_duels_won,aerial_duels,aerial_duels_won,interceptions,losses,losses_in_own_half,recoveries,recoveries_in_own_half,minute_yellow_card_received,minute_red_card_received,defensive_duels,defensive_duels_won,loose_ball_duels,loose_ball_duels_won,slide_tackles_attempted,slide_tackles_won,clearances,fouls,yellow_cards,red_cards,shot_assists,offensive_duels,offensive_duels,touches_inside_box,offsides,progressive_runs_attempted,fouls_drawn,through_passes_attempted,through_passes_completed,xa,second_assists,passes_into_final_third,passes_into_final_third_completed,passes_into_box,passes_into_box_completed,received_passes,forward_passes,forward_passes,back_passes,back_passes,gk_stat_conceded_goals,gk_stat_xcg,gk_stat_shots_against,gk_stat_saves,gk_stat_reflex_saves,gk_stat_box_exits,gk_stat_passes_to_gk,gk_stat_passes_to_gk_completed,gk_stat_goal_kicks_attempted,gk_stat_short_goal_kicks,gk_stat_long_goal_kicks
T. Ratoviz,UCLA Bruins,Denver Pioneers,2024,UCLA Bruins,UCLA Bruins - Denver Pioneers 0:0,United States. NCAA D1 Non-conference matches,9/10/24,LW,55,41,29,0,0,1,1,0.07,28,24,0,0,1,1,1,0,10,4,0,0,1,4,1,3,2,0,0,3,1,3,2,0,0,0,1,0,0,0,4,1,0,0,2,0,0,0,0,0,6,6,2,1,22,6,4,5,5,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,UCLA Bruins,Cal State Fullerton Titans,2024,UCLA Bruins,UCLA Bruins - Cal State Fullerton Titans 1:3,United States. NCAA D1 Non-conference matches,9/6/24,"LCMF3, RCMF3",62,46,36,0,1,0,0,0,25,24,0,0,0,0,5,3,20,12,0,0,0,4,1,5,2,0,0,4,3,5,4,0,0,0,1,0,0,1,11,5,0,0,1,4,0,0,0.15,0,2,2,2,2,21,9,8,6,6,0,0,0,0,0,0,1,1,0,0,0
T. Ratoviz,UCLA Bruins,Portland Pilots,2024,UCLA Bruins,UCLA Bruins - Portland Pilots 2:0,United States. NCAA D1 Non-conference matches,8/30/24,"RCMF, RCMF3",63,54,35,1,1,1,1,0.55,30,24,0,0,0,0,2,2,17,10,1,0,4,5,2,5,2,0,0,9,5,0,0,1,1,1,2,0,0,1,7,5,2,0,1,0,0,0,0,0,5,5,2,1,19,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,UCLA Bruins,JMU Dukes,2024,UCLA Bruins,UCLA Bruins - JMU Dukes 0:0,United States. NCAA D1 Non-conference matches,8/26/24,LCMF3,33,22,16,0,0,0,0,0,14,13,0,0,0,0,0,0,6,3,1,0,1,2,2,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,3,3,0,0,10,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
T. Ratoviz,UCLA Bruins,LMU Lions,2024,UCLA Bruins,UCLA Bruins - LMU Lions 2:0,United States. NCAA D1 Non-conference matches,8/23/24,"RAMF, RCMF3",48,41,27,0,0,0,0,0,28,22,0,0,1,0,1,1,9,5,0,0,2,9,3,3,3,0,0,6,3,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0.27,0,2,1,2,1,20,8,4,8,8,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Maryland College Park Terrapins,Ohio State Buckeyes,2024,Ohio State Buckeyes,Maryland College Park Terrapins - Ohio State Buckeyes 1:2,United States. NCAA D1 Big Ten,11/3/24,CF,46,10,7,0,0,1,0,0.16,6,6,1,1,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,1,0,0,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Michigan State Spartans,2024,Ohio State Buckeyes,Ohio State Buckeyes - Michigan State Spartans 2:2,United States. NCAA D1 Big Ten,10/29/24,CF,37,19,12,0,0,2,2,0.27,8,7,0,0,1,0,1,0,9,3,2,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Northwestern Wildcats,2024,Ohio State Buckeyes,Ohio State Buckeyes - Northwestern Wildcats 2:0,United States. NCAA D1 Big Ten,10/26/24,CF,54,26,10,0,0,0,0,0,7,6,0,0,0,0,1,0,14,3,3,2,1,11,5,3,0,0,0,2,1,2,0,0,0,1,1,0,0,1,7,0,1,0,1,0,0,0,0.04,0,0,0,0,0,11,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Wisconsin Badgers,Ohio State Buckeyes,2024,Ohio State Buckeyes,Wisconsin Badgers - Ohio State Buckeyes 2:3,United States. NCAA D1 Big Ten,10/20/24,CF,39,24,12,1,0,1,1,0.29,10,6,0,0,0,0,0,0,13,5,3,2,0,11,3,1,0,0,0,1,1,3,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,11,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
T. Creech,UCLA Bruins,Ohio State Buckeyes,2024,Ohio State Buckeyes,UCLA Bruins - Ohio State Buckeyes 2:1,United States. NCAA D1 Big Ten,10/12/24,CF,24,12,5,0,0,0,0,0,4,3,0,0,0,0,0,0,8,2,1,0,0,4,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
