Number,Name,Position,Height,Class,Season,Team,Weight
22,Francesco Di Ponzio,MF,8-May,Fr.,2023,Rutgers,140
23,Aidan Flynn,D,4-Jun,Jr.,2023,Rutgers,175
24,Cole Cruthers,MF,8-May,So.,2023,Rutgers,140
25,Devon Stopek,D,1-Jun,Fr.,2023,Rutgers,160
26,Erick Ruiz,D,8-May,Fr.,2023,Rutgers,145
27,Jace Orvos,MF/D,1-Jun,Sr.,2023,Rutgers,155
29,Bryan Keating,D,11-May,Jr.,2023,Rutgers,180
32,Andrew Noel,GK,5-Jun,Jr.,2023,Rutgers,225
0,Aurie Briscoe,GK,1-Jun,So.,2022,Rutgers,180
2,Thomas DeVizio,D,8-May,Gr.,2022,Rutgers,155
3,Chris Tiao,D,11-May,Sr.,2022,Rutgers,155
4,Hugo Le Guennec,D,1-Jun,Sr.,2022,Rutgers,170
5,Saahb Kular,D,3-Jun,Jr.,2022,Rutgers,165
6,Cole Sotack,D,1-Jun,Jr.,2022,Rutgers,160
7,Joey Zalinsky,D,9-May,So.,2022,Rutgers,170
8,Gabriel Addo,MF,9-May,Jr.,2022,Rutgers,140
9,MD Myers,F,1-Jun,Sr.,2022,Rutgers,165
10,Pablo Avila,MF,9-May,Gr.,2022,Rutgers,140
11,Nick Spittle,F,1-Jun,Jr.,2022,Rutgers,160
12,Jackson Temple,MF,5-May,Sr.,2022,Rutgers,125
13,William Baker,MF,1-Jun,Fr.,2022,Rutgers,165
14,Sam Delgado,F,10-May,Fr.,2022,Rutgers,155
15,Nico Rosamilia,F,1-Jun,So.,2022,Rutgers,170
16,Matthew Acosta,MF,8-May,So.,2022,Rutgers,145
17,Ola Maeland,F,1-Jun,Jr.,2022,Rutgers,165
18,Jason Bouregy,MF,9-May,Jr.,2022,Rutgers,150
19,Colin Beasley,F,2-Jun,Jr.,2022,Rutgers,180
20,Ian Abbey,F,7-May,Fr.,2022,Rutgers,140
21,Nestor Cabrera,MF,10-May,Fr.,2022,Rutgers,180
22,Randy Arronis,MF,6-May,Sr.,2022,Rutgers,135
23,Aidan Flynn,D,4-Jun,So.,2022,Rutgers,175
24,Cole Cruthers,MF,8-May,Fr.,2022,Rutgers,140
25,Anthony O’Donnell,MF,1-Jun,Sr.,2022,Rutgers,170
26,Keegan Vedder,MF,10-May,Sr.,2022,Rutgers,140
27,Jace Orvos,MF/D,1-Jun,Jr.,2022,Rutgers,155
29,Bryan Keating,D,11-May,So.,2022,Rutgers,180
31,Ciaran Dalton,GK,2-Jun,Fr.,2022,Rutgers,180
32,Dylan van der Walt,GK,4-Jun,Fr.,2022,Rutgers,195
33,Zach Riviere,MF/F,6-May,Gr.,2022,Rutgers,140
0,Aurie Briscoe,GK,1-Jun,Fr.,2021,Rutgers,180
1,Oren Asher,GK,1-Jun,Jr.,2021,Rutgers,170
2,Thomas DeVizio,D,8-May,Sr.,2021,Rutgers,155
3,Chris Tiao,D,11-May,Jr.,2021,Rutgers,155
4,Hugo Le Guennec,D,1-Jun,Jr.,2021,Rutgers,170
6,Cole Sotack,D,1-Jun,So.,2021,Rutgers,160
7,Joey Zalinsky,D,9-May,Fr.,2021,Rutgers,170
8,Gabriel Addo,MF,9-May,So.,2021,Rutgers,140
10,Pablo Avila,MF,9-May,Sr.,2021,Rutgers,140
11,Moussa Sabaly,F,11-May,So.,2021,Rutgers,155
12,Jackson Temple,MF,5-May,Jr.,2021,Rutgers,125
13,Xavi Olmos,MF/D,1-Jun,Gr.,2021,Rutgers,170
14,Ritchie Barry,F,1-Jun,Sr.,2021,Rutgers,165
15,Nico Rosamilia,F,1-Jun,Fr.,2021,Rutgers,170
16,Matthew Acosta,MF,8-May,Fr.,2021,Rutgers,145
17,Ola Maeland,F,1-Jun,So.,2021,Rutgers,165
18,Jason Bouregy,MF,9-May,So.,2021,Rutgers,150
19,Colin Beasley,F,2-Jun,So.,2021,Rutgers,180
20,Nick Cruz,MF,7-May,Sr.,2021,Rutgers,150
22,Randy Arronis,MF,6-May,Jr.,2021,Rutgers,135
23,Aidan Flynn,D,4-Jun,Fr.,2021,Rutgers,175
24,Vincent Borden,D,3-Jun,Gr.,2021,Rutgers,165
25,Anthony O’Donnell,MF,1-Jun,Jr.,2021,Rutgers,170
26,Keegan Vedder,MF,10-May,Jr.,2021,Rutgers,140
27,Jace Orvos,MF/D,1-Jun,So.,2021,Rutgers,155
28,Clement Slavick,D,1-Jun,Jr.,2021,Rutgers,170
29,Bryan Keating,D,11-May,Fr.,2021,Rutgers,180
30,Adam Davies,GK,1-Jun,Fr.,2021,Rutgers,185
31,Chay Kaplan,GK,9-May,So.,2021,Rutgers,150
1,Sam Joseph,GK,6' 4'',Jr.,2024,UCLA,215
2,Tre Wright,D,6' 2'',So.,2024,UCLA,180
3,Youri Senden,D,6' 2'',Gr.,2024,UCLA,178
4,Pietro Grassi,D,6' 1'',Sr.,2024,UCLA,180
5,JC Cortez,D,6' 0'',Jr.,2024,UCLA,175
6,Tarun Karumanchi,MF,5' 11'',Jr.,2024,UCLA,150
7,Edrey Caceres,MF,5' 6'',Gr.,2024,UCLA,150
8,Andre Ochoa,F,5' 9'',Sr.,2024,UCLA,150
9,Jose Contell,F,5' 9'',R-Sr.,2024,UCLA,170
10,Sveinn Hauksson,MF/F,6' 2'',Gr.,2024,UCLA,189
11,Cam Wilkerson,MF,6' 0'',Jr.,2024,UCLA,165
12,Tamir Ratoviz,MF,5' 11'',Fr.,2024,UCLA,164
13,Pablo Greenlee,D,5' 11'',Sr.,2024,UCLA,180
14,Philip Naef,D,5' 11'',So.,2024,UCLA,170
15,Amjot Narang,MF,6' 1'',Jr.,2024,UCLA,160
16,Sebastian Rincon,MF,5' 6'',Jr.,2024,UCLA,130
17,Sam Scott,F,6' 0'',So.,2024,UCLA,180
18,Lucca Adams,GK,6' 1'',Fr.,2024,UCLA,191
19,Nikolai Rojel,F,6' 2'',Jr.,2024,UCLA,190
20,Mateo Pinilla,D,6' 1'',So.,2024,UCLA,155
21,Shakir Nixon,D,5' 11'',Fr.,2024,UCLA,176
22,Wyatt Nelson,GK,6' 3'',So.,2024,UCLA,195
23,Oshea Foster,F,5' 9'',Jr.,2024,UCLA,165
24,Nicholas Cavallo,D,6' 1'',Gr.,2024,UCLA,181
25,Allan Legaspi,D,5' 9'',Fr.,2024,UCLA,159
26,Jacob Diaz,F,6' 1'',So.,2024,UCLA,180
27,Artem Vovk,F,5' 9'',Fr.,2024,UCLA,154
1,Sam Joseph,GK,6' 4'',So.,2023,UCLA,215
2,Grayson Doody,D,5' 10'',Sr.,2023,UCLA,165
3,Tommy Silva,D,5' 10'',Sr.,2023,UCLA,170
4,Pietro Grassi,D,6' 1'',Jr.,2023,UCLA,180
5,Kasper Strom,D,6' 0'',R-Jr.,2023,UCLA,170
6,Tarun Karumanchi,MF,5' 11'',So.,2023,UCLA,150
7,Sean Karani,MF,5' 9'',Gr.,2023,UCLA,160
8,Andre Ochoa,F,5' 9'',Sr.,2023,UCLA,150
9,Jose Contell,F,5' 9'',R-Jr.,2023,UCLA,170
10,Tucker Lepley,MF,5' 7'',R-Jr.,2023,UCLA,145
11,Cam Wilkerson,MF,6' 0'',So.,2023,UCLA,165
12,JC Cortez,D,6' 0'',So.,2023,UCLA,175
13,Pablo Greenlee,D,5' 11'',Sr.,2023,UCLA,180
14,Philip Naef,D,5' 11'',Fr.,2023,UCLA,170
15,Amjot Narang,MF,6' 1'',So.,2023,UCLA,160
16,Sebastian Rincon,MF,5' 6'',So.,2023,UCLA,130
17,Sam Scott,F,6' 0'',Fr.,2023,UCLA,180
18,Noah Sutherland,GK,6' 3'',Gr.,2023,UCLA,200
19,Jack Sarkos,F,6' 2'',Gr.,2023,UCLA,200
20,Mateo Pinilla,D,6' 1'',Fr.,2023,UCLA,155
21,Ryan Becher,MF,6' 3'',Gr.,2023,UCLA,190
22,Wyatt Nelson,GK,6' 3'',Fr.,2023,UCLA,195
23,Oshea Foster,F,5' 9'',So.,2023,UCLA,165
24,Owen Schwartz,D,6' 3'',Gr.,2023,UCLA,185
25,Tre Wright,D,6' 2'',Fr.,2023,UCLA,180
26,Jacob Diaz,F,6' 1'',Fr.,2023,UCLA,180
1,Nate Crockford,GK,6' 4'',So.,2022,UCLA,190
2,Aaron Edwards,D,6' 0'',So.,2022,UCLA,190
3,Tommy Silva,D,5' 10'',Jr.,2022,UCLA,170
4,Pietro Grassi,D,6' 1'',So.,2022,UCLA,180
5,Kasper Strom,D,6' 0'',R-So.,2022,UCLA,170
6,Tarun Karumanchi,MF,5' 11'',Fr.,2022,UCLA,150
7,Jose Sosa,MF,5' 6'',R-Sr.,2022,UCLA,150
8,Andre Ochoa,F,5' 8'',Jr.,2022,UCLA,150
9,Kevin Diaz,F,5' 9'',R-Sr.,2022,UCLA,155
10,Riley Ferch,MF,5' 10'',Sr.,2022,UCLA,140
11,Tucker Lepley,MF,5' 6'',R-So.,2022,UCLA,135
12,Grayson Doody,D,5' 10'',Jr.,2022,UCLA,165
13,Pablo Greenlee,D,5' 11'',Jr.,2022,UCLA,180
14,Jose Contell,F,5' 9'',R-So.,2022,UCLA,170
15,Amjot Narang,MF,6' 1'',Fr.,2022,UCLA,160
16,Mauricio Gutierrez,MF,5' 9'',R-Fr.,2022,UCLA,150
17,Charlie Crockford,MF,6' 1'',So.,2022,UCLA,175
18,Tyler Kirberg,GK,6' 6'',Jr.,2022,UCLA,200
19,Luke Bone,MF,5' 11'',R-Jr.,2022,UCLA,145
20,Thomas Raimbault,F,5' 11'',Fr.,2022,UCLA,175
21,Constantinos Michaelides,F,6' 3'',Sr.,2022,UCLA,170
22,Sam Joseph,GK,6' 4'',Fr.,2022,UCLA,215
23,Ollie de Visser,F,5' 11'',Sr.,2022,UCLA,150
24,Nicolas Blassou,D,6' 2'',Gr.,2022,UCLA,185
25,Cam Wilkerson,MF,6' 0'',Fr.,2022,UCLA,165
26,JC Cortez,D,6' 0'',Fr.,2022,UCLA,175
27,Sebastian Rincon,MF,5' 6'',Fr.,2022,UCLA,130
1,Justin Garces,GK,6' 2'',Sr.,2021,UCLA,185
2,Yoni Sorokin,MF,5' 11'',Gr.,2021,UCLA,175
3,Ahmed Longmire,D,6' 3'',Sr.,2021,UCLA,190
4,Kasper Strom,D,6' 0'',R-Fr.,2021,UCLA,170
5,AJ Vasquez,D,5' 11'',R-Jr.,2021,UCLA,180
6,Andrew Paoli,MF,5' 8'',R-Sr.,2021,UCLA,155
7,Jose Sosa,MF,5' 6'',R-Jr.,2021,UCLA,150
9,Kevin Diaz,F,5' 9'',Sr.,2021,UCLA,155
10,Riley Ferch,MF,5' 10'',Jr.,2021,UCLA,140
11,Tucker Lepley,MF,5' 6'',R-Fr.,2021,UCLA,135
12,Grayson Doody,F,5' 10'',So.,2021,UCLA,165
13,Pablo Greenlee,D,5' 11'',So.,2021,UCLA,180
14,Jose Contell,F,5' 9'',R-Fr.,2021,UCLA,170
15,Brandon Zelaya,F,5' 7'',Fr.,2021,UCLA,140
16,Mauricio Gutierrez,MF,5' 9'',Fr.,2021,UCLA,150
17,Charlie Crockford,MF,6' 1'',Fr.,2021,UCLA,175
18,Tyler Kirberg,GK,6' 6'',So.,2021,UCLA,200
19,Luke Bone,MF,5' 11'',Jr.,2021,UCLA,145
20,Pietro Grassi,D,6' 1'',Fr.,2021,UCLA,180
21,Constantinos Michaelides,D,6' 3'',Jr.,2021,UCLA,171
22,Nate Crockford,GK,6' 4'',Fr.,2021,UCLA,190
23,Ollie de Visser,F,5' 11'',Jr.,2021,UCLA,150
24,Ben Reveno,D,6' 1'',R-Sr.,2021,UCLA,170
25,Aaron Edwards,F,6' 0'',Fr.,2021,UCLA,190
26,Tommy Silva,D,5' 10'',So.,2021,UCLA,170
28,Andrew Valverde,MF,5' 8'',So.,2021,UCLA,160
29,Connor Manning,MF,6' 0'',R-Fr.,2021,UCLA,170
0,Levi Bieber,GK,5-Jun,R-Fr.,2024,Washington,
1,Jadon Bowton,GK,4-Jun,Sr.,2024,Washington,
2,Philip Kleemann,D,4-Jun,R-So.,2024,Washington,
3,Caden Buckley,D,1-Jun,Sr.,2024,Washington,
4,Egor Akulov,D,2-Jun,R-So.,2024,Washington,
5,Jack Maguire,D,3-Jun,Sr.,2024,Washington,
6,Peter Kingston,M,10-May,5th,2024,Washington,
7,Chris Meyers,M/D,8-May,Sr.,2024,Washington,
8,Cooper Brunell,M,9-May,R-Jr.,2024,Washington,
9,Charlie Kosakoff,F,11-May,So.,2024,Washington,
10,Richie Aman,M,9-May,Jr.,2024,Washington,
11,Chris Peretti,F,10-May,R-Jr.,2024,Washington,
12,Sean Sent,M,1-Jun,R-Jr.,2024,Washington,
13,Harrison Bertos,D,1-Jun,So.,2024,Washington,
14,Joe Dale,M,9-May,R-So.,2024,Washington,
15,Mani Diop,D,5-Jun,Jr.,2024,Washington,
16,Rhys Gourdie,M/F,1-Jun,5th,2024,Washington,
17,Alex Hall,M,11-May,Fr.,2024,Washington,
18,Nani Deperro,F,9-May,R-So.,2024,Washington,
19,Mikey Sherlock,M,1-Jun,R-So.,2024,Washington,
20,Nick O'Brien,F,11-May,R-So.,2024,Washington,
21,Zach Ramsey,M,10-May,Fr.,2024,Washington,
22,Conner Leber,D,2-Jun,R-Jr.,2024,Washington,
23,Sheehan Ganguly,M,6-May,R-Fr.,2024,Washington,
25,Asher Hestad,D,1-Jun,Fr.,2024,Washington,
26,Connor Lofy,M,1-Jun,R-Fr.,2024,Washington,
27,Levi Hawk,M,10-May,R-So.,2024,Washington,
29,Julian Banks,F,1-Jun,Fr.,2024,Washington,
30,Jaeger Felton,GK,1-Jun,Fr.,2024,Washington,
31,Brecken Bowers,M,10-May,Fr.,2024,Washington,
33,Chad Sovde,M,1-Jun,R-Fr.,2024,Washington,
44,Gabe Fernandez,D,7-May,Fr.,2024,Washington,
0,Jadon Bowton,GK,4-Jun,Jr.,2023,Washington,
1,Sam Fowler,GK,1-Jun,Sr.,2023,Washington,
2,Philip Kleemann,D,4-Jun,R-Fr.,2023,Washington,
3,Nate Jones,D,3-Jun,Jr.,2023,Washington,
4,Egor Akulov,D,2-Jun,R-Fr.,2023,Washington,
5,Jack Maguire,D,3-Jun,Jr.,2023,Washington,
6,Kalani Kossa-Rienzi,M,7-May,Jr.,2023,Washington,
7,Chris Meyers,M,8-May,Jr.,2023,Washington,
8,Peter Kingston,M,10-May,Sr.,2023,Washington,
9,Richie Aman,M,9-May,So.,2023,Washington,
10,Imanol Rosales,M,7-May,Sr.,2023,Washington,
11,Chris Peretti,F,10-May,Jr.,2023,Washington,
12,Sean Sent,M,1-Jun,Jr.,2023,Washington,
13,Keegan Yorke,D,3-Jun,Jr.,2023,Washington,
14,Christian Soto,M,5-May,Sr.,2023,Washington,
15,Mani Diop,D,5-Jun,So.,2023,Washington,
16,Woody Manum,D,1-Jun,Jr.,2023,Washington,
18,Nani Deperro,F,9-May,R-Fr.,2023,Washington,
19,Mikey Sherlock,M,1-Jun,R-Fr.,2023,Washington,
20,Nick O'Brien,F,11-May,R-Fr.,2023,Washington,
22,Mark Gallagher,F,1-Jun,R-Fr.,2023,Washington,
23,Sheehan Ganguly,M,6-May,Fr.,2023,Washington,
24,Khai Brisco,D,8-May,Sr.,2023,Washington,
25,Cooper Brunell,M,9-May,Jr.,2023,Washington,
26,Connor Lofy,M,1-Jun,Fr.,2023,Washington,
27,Levi Hawk,M,10-May,R-Fr.,2023,Washington,
28,Joe Dale,M,9-May,R-Fr.,2023,Washington,
29,Harrison Bertos,D,1-Jun,Fr.,2023,Washington,
30,Jackson Ozburn,GK,3-Jun,R-Fr.,2023,Washington,
32,Conner Leber,D,2-Jun,Jr.,2023,Washington,
33,Bryan Iliohan,F,2-Jun,Gr.,2023,Washington,
41,Levi Bieber,GK,5-Jun,Fr.,2023,Washington,
44,Gabe Threadgold,M,7-May,R-Jr.,2023,Washington,
99,Charlie Kosakoff,F,11-May,Fr.,2023,Washington,
,Chad Sovde,M,1-Jun,Fr.,2023,Washington,
0,Jadon Bowton,GK,3-Jun,So.,2022,Washington,200
1,Sam Fowler,GK,1-Jun,Jr.,2022,Washington,180
2,Philip Kleemann,D,4-Jun,Fr.,2022,Washington,
3,Nate Jones,D,2-Jun,So.,2022,Washington,185
4,Egor Akulov,D,2-Jun,Fr.,2022,Washington,
5,Omar Grey,M,1-Jun,R-Sr.,2022,Washington,165
6,Kalani Kossa-Rienzi,M/D,8-May,So.,2022,Washington,150
7,Chris Meyers,F/M,8-May,So.,2022,Washington,140
8,Gio Miglietti,D,1-Jun,Sr.,2022,Washington,185
9,Richie Aman,M,9-May,Fr.,2022,Washington,
10,Imanol Rosales,M,7-May,Jr.,2022,Washington,160
11,Nick Scardina,F,11-May,Jr.,2022,Washington,160
12,Ilijah Paul,F,1-Jun,So.,2022,Washington,185
13,Darren Green,M,10-May,Fr.,2022,Washington,
14,Christian Soto,M,5-May,Jr.,2022,Washington,145
15,Jack Maguire,D,3-Jun,So.,2022,Washington,180
16,Woody Manum,D/M,11-May,So.,2022,Washington,155
17,Michael Rojas,M,8-May,R-Jr.,2022,Washington,160
18,Nani Deperro,M/F,9-May,Fr.,2022,Washington,
19,Mikey Sherlock,M,2-Jun,Fr.,2022,Washington,
20,Nick O'Brien,F,11-May,Fr.,2022,Washington,
21,Jayson Baca,F,6-May,Jr.,2022,Washington,150
22,Mark Gallagher,F,1-Jun,Fr.,2022,Washington,
23,Gabe Threadgold,M,7-May,R-So.,2022,Washington,140
24,Khai Brisco,D,8-May,Jr.,2022,Washington,160
25,Cooper Brunell,M,8-May,So.,2022,Washington,140
26,Sean Sent,M,11-May,So.,2022,Washington,160
27,Levi Hawk,M,11-May,Fr.,2022,Washington,
28,Joe Dale,M,9-May,Fr.,2022,Washington,
30,Jackson Ozburn,GK,3-Jun,Fr.,2022,Washington,
32,Keegan Yorke,D,4-Jun,So.,2022,Washington,185
33,Lucas Meek,M,2-Jun,R-Sr.,2022,Washington,160
44,Jensen Jabara,M,7-May,R-So.,2022,Washington,145
99,Chris Peretti,F,10-May,So.,2022,Washington,165
0,Sam Fowler,GK,1-Jun,So.,2021,Washington,180
1,Andrew Morrison,GK,1-Jun,R-Jr.,2021,Washington,195
2,Kendall Burks,D,2-Jun,Jr.,2021,Washington,190
3,Nate Jones,D,2-Jun,Fr.,2021,Washington,185
4,Ryan Sailor,D,4-Jun,R-Sr.,2021,Washington,180
5,Achille Robin,D`,3-Jun,Sr.,2021,Washington,175
6,Kalani Kossa-Rienzi,MF/D,8-May,Fr.,2021,Washington,150
7,Chris Meyers,F/M,8-May,Fr.,2021,Washington,140
8,Gio Miglietti,F,1-Jun,Jr.,2021,Washington,185
9,Dylan Teves,MF,7-May,Jr.,2021,Washington,140
10,Imanol Rosales,MF,7-May,So.,2021,Washington,160
11,Nick Scardina,F,11-May,So.,2021,Washington,160
12,Ilijah Paul,F,1-Jun,Fr.,2021,Washington,185
13,Scott Gustafson,MF,1-Jun,Fr.,2021,Washington,160
14,Christian Soto,MF,5-May,So.,2021,Washington,145
15,Jack Maguire,D,3-Jun,Fr.,2021,Washington,180
16,Woody Manum,D/M,11-May,Fr.,2021,Washington,155
17,Michael Rojas,MF,8-May,R-So.,2021,Washington,160
18,Julian Churchill,MF,8-May,Fr.,2021,Washington,140
19,Jonah Kawamura,M,10-May,Fr.,2021,Washington,155
20,Charlie Ostrem,D,8-May,Jr.,2021,Washington,155
21,Jayson Baca,F,6-May,So.,2021,Washington,150
22,Ryan Crowley,MF,9-May,R-Jr.,2021,Washington,180
23,Gabe Threadgold,MF,7-May,R-Fr.,2021,Washington,140
24,Khai Brisco,D,8-May,So.,2021,Washington,160
25,Cooper Brunell,M,8-May,Fr.,2021,Washington,140
26,Sean Sent,M,11-May,Fr.,2021,Washington,160
27,Juan Pablo Rojas,M,9-May,Fr.,2021,Washington,150
28,Uli Esquivel,D,9-May,Fr.,2021,Washington,165
30,Jadon Bowton,GK,3-Jun,Fr.,2021,Washington,200
32,Keegan Yorke,D`,4-Jun,Fr.,2021,Washington,185
33,Lucas Meek,MF,2-Jun,R-Jr.,2021,Washington,160
44,Jensen Jabara,MF,7-May,R-Fr.,2021,Washington,145
99,Chris Peretti,F,10-May,Fr.,2021,Washington,165
0,Jack Roach,GK,3-Jun,So.,2024,Wisconsin,170
1,Matisse Hébert,GK,4-Jun,Fr.,2024,Wisconsin,175
2,Birgir Baldvinsson,D,1-Jun,Gr.,2024,Wisconsin,167
3,Noah Glorioso,MF,10-May,Gr.,2024,Wisconsin,160
4,Julian Kuhr,MF,8-May,Fr.,2024,Wisconsin,169
5,Ryan Quintos,D,10-May,So.,2024,Wisconsin,176
6,Roberto Burlew,D,1-Jun,Gr.,2024,Wisconsin,160
7,Kevin Andrews,F,11-May,Sr.,2024,Wisconsin,167
8,Trip Fleming,MF,10-May,So.,2024,Wisconsin,160
9,Markie Hrvojevic,F,1-Jun,So.,2024,Wisconsin,175
10,Charlie Crockford,MF,1-Jun,Sr.,2024,Wisconsin,175
11,Mason Henderson,F,1-Jun,Sr.,2024,Wisconsin,170
12,Drew Brown,D,1-Jun,Jr.,2024,Wisconsin,175
13,Dean Boltz,F,2-Jun,Fr.,2024,Wisconsin,165
16,Roman Eisa,F,3-Jun,So.,2024,Wisconsin,160
17,Ryan Keefe,D,2-Jun,Sr.,2024,Wisconsin,178
18,Matthew Zachemski,MF,10-May,Fr.,2024,Wisconsin,170
20,Thomas Raimbault,F,11-May,Jr.,2024,Wisconsin,175
23,Will Smith,D,1-Jun,So.,2024,Wisconsin,185
24,Eliot Popkewitz,D,9-May,Gr.,2024,Wisconsin,170
25,Ellis Jones,D,2-Jun,So.,2024,Wisconsin,175
26,Liam Chadwick,MF,1-Jun,Fr.,2024,Wisconsin,145
28,Andrew Chavez,D,6-May,So.,2024,Wisconsin,140
30,Adam Braman,GK,2-Jun,Sr.,2024,Wisconsin,180
33,Luke Shrivers,GK,3-Jun,Fr.,2024,Wisconsin,180
1,Nate Crockford,GK,4-Jun,Jr.,2023,Wisconsin,190
2,Birgir Baldvinsson,D,1-Jun,Gr.,2023,Wisconsin,167
3,Noah Glorioso,MF,10-May,Sr.,2023,Wisconsin,160
4,Kevin Andrews,F,11-May,Jr.,2023,Wisconsin,167
5,Ryan Quintos,D,10-May,Fr.,2023,Wisconsin,176
6,Charlie Crockford,MF,1-Jun,Jr.,2023,Wisconsin,175
7,Jack Finnegan,F,10-May,Sr.,2023,Wisconsin,165
8,Maxwell Keenan,MF,11-May,Sr.,2023,Wisconsin,160
9,Markie Hrvojevic,F,1-Jun,Fr.,2023,Wisconsin,175
10,Tim Bielic,MF,5-May,Gr.,2023,Wisconsin,130
11,Mason Henderson,F,1-Jun,Jr.,2023,Wisconsin,170
12,Drew Brown,D,1-Jun,So.,2023,Wisconsin,175
13,Jack Roach,GK,3-Jun,Fr.,2023,Wisconsin,170
14,Trip Fleming,MF,10-May,Fr.,2023,Wisconsin,160
16,Roman Eisa,F,3-Jun,Fr.,2023,Wisconsin,160
17,Ryan Keefe,D,2-Jun,Jr.,2023,Wisconsin,178
18,Bennett Pauls,MF,1-Jun,Sr.,2023,Wisconsin,167
19,Shirzaad Ghadially,MF,3-Jun,So.,2023,Wisconsin,170
20,Thomas Raimbault,F,11-May,So.,2023,Wisconsin,175
23,Will Smith,D,1-Jun,Fr.,2023,Wisconsin,185
24,Eliot Popkewitz,D,9-May,Sr.,2023,Wisconsin,170
25,Cristian Torres-Gale,F,6-May,Fr.,2023,Wisconsin,140
26,Mitchell Dryden,F,11-May,So.,2023,Wisconsin,165
27,Ryan Gallagher,GK,1-Jun,R-Jr.,2023,Wisconsin,175
28,Andrew Chavez,D,6-May,Fr.,2023,Wisconsin,140
32,Nils Vallotto,D,10-May,So.,2023,Wisconsin,155
2,Nils Vallotto,MF,10-May,Fr.,2022,Wisconsin,155
3,Inaki Iribarren,MF,2-Jun,Sr.,2022,Wisconsin,163
4,Ethan Chung,D,6-May,Jr.,2022,Wisconsin,145
5,Matt Chandler,D,6-Jun,Gr.,2022,Wisconsin,200
6,Aron Eli Saevarsson,D,5-Jun,Sr.,2022,Wisconsin,170
7,Jack Finnegan,F,10-May,Jr.,2022,Wisconsin,165
8,Maxwell Keenan,D,-,Jr.,2022,Wisconsin,
9,Ignasi Marques,MF,-,Sr.,2022,Wisconsin,
10,Tim Bielic,MF,5-May,Jr.,2022,Wisconsin,130
11,Mason Henderson,F,1-Jun,So.,2022,Wisconsin,170
12,Drew Brown,D,1-Jun,Fr.,2022,Wisconsin,175
14,Murat Calkap,MF,11-May,Jr.,2022,Wisconsin,155
15,Dawson Gulley,MF,10-May,Jr.,2022,Wisconsin,140
17,Ryan Keefe,D/MF,2-Jun,So.,2022,Wisconsin,178
18,Bennett Pauls,MF,1-Jun,Jr.,2022,Wisconsin,167
19,Shirzaad Ghadially,MF,3-Jun,Fr.,2022,Wisconsin,170
21,Michael Wampler,MF/F,1-Jun,Jr.,2022,Wisconsin,165
23,Dan Iscra,D,2-Jun,Sr.,2022,Wisconsin,161
24,Eliot Popkewitz,D,9-May,Jr.,2022,Wisconsin,170
25,Will Navarre,F,9-May,So.,2022,Wisconsin,165
26,Mitchell Dryden,F,11-May,Fr.,2022,Wisconsin,165
32,Ryan Gallagher,GK,1-Jun,Jr.,2022,Wisconsin,175
35,Carter Abbott,GK,11-May,Jr.,2022,Wisconsin,170
36,Peter Girzadas,GK,4-Jun,So.,2022,Wisconsin,200
2,Ben Leas,D,10-May,Sr.,2021,Wisconsin,165
3,Inaki Iribarren,MF,2-Jun,Jr.,2021,Wisconsin,163
4,Ethan Chung,D,6-May,So.,2021,Wisconsin,145
5,Moritz Kappelsberger,D,4-Jun,Sr.,2021,Wisconsin,210
6,Aron Eli Saevarsson,D,5-Jun,Jr.,2021,Wisconsin,170
7,Jack Finnegan,F,10-May,So.,2021,Wisconsin,165
8,Andrew Akindele,F/MF,1-Jun,Sr.,2021,Wisconsin,170
9,Ignasi Marques,MF,-,Jr.,2021,Wisconsin,
10,Tim Bielic,MF,5-May,Jr.,2021,Wisconsin,130
11,Henri Tophoven,F/MF,1-Jun,Sr.,2021,Wisconsin,178
12,Zach Klancnik,D,1-Jun,Sr.,2021,Wisconsin,190
13,Kyle McCurley,MF,10-May,Gr.,2021,Wisconsin,165
14,Murat Calkap,MF,11-May,So.,2021,Wisconsin,155
15,Dawson Gulley,MF,10-May,So.,2021,Wisconsin,140
16,Patrick Yim,MF/D,9-May,Gr.,2021,Wisconsin,162
17,Ryan Keefe,D/MF,2-Jun,Fr.,2021,Wisconsin,178
18,Bennett Pauls,MF,1-Jun,So.,2021,Wisconsin,167
19,Jonathan Bowen,D,3-Jun,Fr.,2021,Wisconsin,185
20,Noah Melick,F,1-Jun,Sr.,2021,Wisconsin,175
21,Michael Wampler,MF/F,1-Jun,So.,2021,Wisconsin,165
22,Dylan McCrary,D,1-Jun,So.,2021,Wisconsin,185
23,Dan Iscra,D,2-Jun,Jr.,2021,Wisconsin,161
24,Eliot Popkewitz,D,9-May,So.,2021,Wisconsin,170
25,Will Navarre,F,9-May,Fr.,2021,Wisconsin,165
32,Ben Krongard,GK,1-Jun,Jr.,2021,Wisconsin,175
33,Adir Raphael,GK,11-May,Fr.,2021,Wisconsin,
35,Carter Abbott,GK,11-May,So.,2021,Wisconsin,170
36,Peter Girzadas,GK,4-Jun,R-Fr.,2021,Wisconsin,200
